Tiempo,Susceptibles,Infectados,Removidos
5.25,0.9767429374333335,0.01725934090634977,0.005997721660316575
5.26,0.9760317567636574,0.017795261788266705,0.006172981448075758
5.2700000000000005,0.97529796736215,0.01834834679490094,0.006353685842948909
5.28,0.9745408491190067,0.018919141678442903,0.006540009202550232
5.29,0.9737596603981897,0.01950820818011016,0.006732131421699972
5.3,0.972953637537432,0.020116124368557784,0.006930238094010093
5.3100000000000005,0.9721219943489029,0.020743484974262084,0.007134520676834874
5.32,0.971263921621777,0.021390901718682635,0.007345176659540275
5.33,0.9703785866280608,0.02205900363690568,0.007562409735033441
5.34,0.9694651326331555,0.02274843739236413,0.007786429974480234
5.3500000000000005,0.9685226784127602,0.023459867582115573,0.008017454005124056
5.36,0.9675503177778566,0.024193977031039773,0.008255705191103463
5.37,0.9665471191096601,0.024951467073190802,0.008501413817149025
5.38,0.9655121249065719,0.02573305781840633,0.008754817275021625
5.39,0.9644443513453277,0.026539488402137514,0.009016160252534685
5.4,0.9633427878587008,0.027371517216317438,0.009285694924981746
5.41,0.9622063967322977,0.02822992211893403,0.009563681148768242
5.42,0.9610341127231625,0.029115500619815216,0.009850386657022172
5.43,0.9598248427030979,0.03002907003996943,0.010146087256932666
5.44,0.9585774653298078,0.03097146764165416,0.010451067028537982
5.45,0.9572908307491758,0.03194355072616886,0.010765618524655355
5.46,0.955963760332199,0.03294619669618683,0.011090042971614155
5.47,0.9545950464503249,0.03398030307925399,0.01142465047042105
5.48,0.9531834522931575,0.03504678750889133,0.01176976019795117
5.49,0.9517277117327345,0.03614658765954274,0.012125700607722676
5.5,0.9502265292388142,0.037280661131412075,0.012492809629773588
5.51,0.9486785798498478,0.038449985281032946,0.012871434869119121
5.5200000000000005,0.947082509204561,0.039655556993213596,0.013261933802225245
5.53,0.9454369336393125,0.04089839238979786,0.013664673970889576
5.54,0.9437404403566422,0.042179526470483564,0.014080033172874143
5.55,0.9419915876706711,0.04350001268074276,0.01450839964858596
5.5600000000000005,0.9401889053352528,0.04486092240169622,0.014950172263050853
5.57,0.9383308949610171,0.04626334435660921,0.015405760682373567
5.58,0.9364160305276782,0.047708383928498736,0.015875585543822925
5.59,0.9344427589981975,0.04919716238317738,0.016360078618624947
5.6000000000000005,0.9324095010416037,0.05073081599190696,0.016859682966489233
5.61,0.9303146518714642,0.0523104950477006,0.01737485308083504
5.62,0.92815658220718,0.053937362769196695,0.017906055023623184
